DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20010321,106090.0,106220.0,106090.0,106220.0,0,0,0,0,0.0
20010323,106130.0,106130.0,106020.0,106020.0,0,0,0,0,0.0
20010326,106060.0,106060.0,106060.0,106060.0,0,0,0,0,0.0
20010327,105790.0,105790.0,105790.0,105790.0,0,0,0,0,0.0
20010328,105950.0,105950.0,105950.0,105950.0,0,0,0,0,0.0
20010329,105870.0,105870.0,105760.0,105820.0,0,0,0,0,0.0
20010330,105720.0,105830.0,105620.0,105830.0,0,0,0,0,0.0
20010402,105670.0,105670.0,105670.0,105670.0,0,0,0,0,0.0
20010403,105570.0,105640.0,105570.0,105640.0,0,0,0,0,0.0
20010404,105530.0,105530.0,105340.0,105340.0,0,0,0,0,0.0
20010405,105460.0,105460.0,105440.0,105440.0,0,0,0,0,0.0
20010406,105640.0,105960.0,105640.0,105920.0,62,0,0,0,0.0
20010409,105850.0,105850.0,105720.0,105780.0,1960,258,0,0,0.0
20010410,105670.0,105740.0,105500.0,105500.0,3093,382,0,0,0.0
20010411,105290.0,105330.0,104920.0,104920.0,0,3018,0,0,0.0
20010412,104900.0,104940.0,104720.0,104900.0,0,0,0,0,0.0
20010417,104890.0,104950.0,104670.0,104670.0,3415,0,0,0,0.0
20010418,104360.0,104410.0,104170.0,104320.0,4461,6599,0,0,0.0
20010419,104730.0,104790.0,104100.0,104210.0,8448,2894,0,0,0.0
20010420,104020.0,104410.0,104020.0,104390.0,5017,5170,0,0,0.0
20010423,104300.0,104630.0,104290.0,104540.0,10811,9803,0,0,0.0
20010424,104510.0,104510.0,104260.0,104260.0,5153,20434,0,0,0.0
20010425,104330.0,104470.0,104330.0,104360.0,10549,24898,0,0,0.0
20010426,104360.0,104870.0,104330.0,104830.0,10711,15693,0,0,0.0
20010427,104930.0,104940.0,104200.0,104260.0,5251,21482,0,0,0.0
20010430,103760.0,103770.0,103680.0,103740.0,3996,26533,0,0,0.0
20010501,103880.0,103880.0,103880.0,103880.0,0,30529,0,0,0.0
20010502,103910.0,103940.0,103680.0,103830.0,12020,30529,0,0,0.0
20010503,103840.0,104260.0,103740.0,104260.0,9038,39397,0,0,0.0
20010504,104210.0,104790.0,104210.0,104570.0,10004,47364,0,0,0.0
20010507,104570.0,104640.0,104530.0,104620.0,4407,42235,0,0,0.0
20010508,104730.0,104850.0,104470.0,104640.0,12187,39092,0,0,0.0
20010509,104600.0,104900.0,104600.0,104820.0,12376,27320,0,0,0.0
20010510,104940.0,105000.0,104780.0,104850.0,4796,39150,0,0,0.0
20010511,104760.0,104900.0,104200.0,104320.0,12800,38085,0,0,0.0
20010514,104140.0,104200.0,103630.0,103740.0,16046,38611,0,0,0.0
20010515,103710.0,103910.0,103710.0,103760.0,11052,35882,0,0,0.0
20010516,103660.0,104140.0,103660.0,103810.0,14698,45921,0,0,0.0
20010517,103800.0,103980.0,103730.0,103880.0,17981,34105,0,0,0.0
20010518,104150.0,104160.0,103860.0,103950.0,14516,34361,0,0,0.0
20010521,103860.0,103990.0,103740.0,103960.0,12637,39923,0,0,0.0
20010522,104140.0,104200.0,103580.0,103660.0,14169,40648,0,0,0.0
20010523,103580.0,103680.0,103450.0,103560.0,16817,39659,0,0,0.0
20010524,103520.0,103700.0,103430.0,103520.0,4822,40439,0,0,0.0
20010525,103400.0,103460.0,103200.0,103270.0,15743,42992,0,0,0.0
20010528,103230.0,103420.0,103230.0,103420.0,4121,35349,0,0,0.0
20010529,103490.0,103650.0,103360.0,103630.0,15932,39389,0,0,0.0
20010530,103620.0,103630.0,103360.0,103410.0,18814,41801,0,0,0.0
20010531,103460.0,103460.0,103030.0,103210.0,13778,36174,0,0,0.0
20010601,103460.0,104000.0,103420.0,103910.0,14965,38872,0,0,0.0
20010604,103960.0,104020.0,103930.0,104000.0,2478,38873,0,0,0.0
20010605,103880.0,104570.0,103800.0,104530.0,13447,36727,0,0,0.0
20010606,104390.0,104420.0,104260.0,104350.0,12343,41389,0,0,0.0
20010607,104340.0,104380.0,104060.0,104100.0,11325,40553,0,0,0.0
20010608,104070.0,104210.0,104070.0,104130.0,11228,31258,0,0,0.0
20010611,104140.0,104380.0,104140.0,104360.0,8403,38102,0,0,0.0
20010612,104360.0,104490.0,104060.0,104250.0,9108,31809,0,0,0.0
