DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20040401,19470.0000,19470.0000,18840.0000,18890.0000,84,0,0,0,0.0000
20040405,18800.0000,18800.0000,18530.0000,18530.0000,304,804,0,0,0.0000
20040406,18570.0000,18890.0000,18570.0000,18790.0000,127,839,0,0,0.0000
20040407,18970.0000,19250.0000,18890.0000,19090.0000,98,144,0,0,0.0000
20040408,18950.0000,19150.0000,18950.0000,19050.0000,5,1325,0,0,0.0000
20040412,18780.0000,18780.0000,18670.0000,18670.0000,25,1485,0,0,0.0000
20040413,19000.0000,19310.0000,18890.0000,19300.0000,308,1486,0,0,0.0000
20040414,19380.0000,19500.0000,19380.0000,19460.0000,42,1464,0,0,0.0000
20040415,19330.0000,19440.0000,19260.0000,19350.0000,61,1464,0,0,0.0000
20040416,19180.0000,19190.0000,19000.0000,19010.0000,11,1589,0,0,0.0000
20040419,19100.0000,19140.0000,18850.0000,18870.0000,125,1718,0,0,0.0000
20040420,18870.0000,19110.0000,18650.0000,19110.0000,11,1718,0,0,0.0000
20040421,19090.0000,19100.0000,18640.0000,18680.0000,95,1836,0,0,0.0000
20040422,18550.0000,18550.0000,17140.0000,17270.0000,601,1836,0,0,0.0000
20040423,17230.0000,17500.0000,17230.0000,17340.0000,246,1884,0,0,0.0000
20040426,17300.0000,17390.0000,17130.0000,17130.0000,87,1461,0,0,0.0000
20040427,16800.0000,16800.0000,16500.0000,16800.0000,335,1282,0,0,0.0000
20040428,17370.0000,17510.0000,17000.0000,17370.0000,274,1290,0,0,0.0000
20040429,17230.0000,17910.0000,17230.0000,17770.0000,131,1108,0,0,0.0000
20040430,17540.0000,18280.0000,17540.0000,18220.0000,42,1115,0,0,0.0000
20040503,18000.0000,18000.0000,17690.0000,17690.0000,36,1018,0,0,0.0000
20040504,17600.0000,17680.0000,16850.0000,17310.0000,237,934,0,0,0.0000
20040505,17040.0000,17050.0000,16530.0000,16620.0000,41,930,0,0,0.0000
20040506,16850.0000,17650.0000,16850.0000,17480.0000,136,996,0,0,0.0000
20040507,17540.0000,18310.0000,17120.0000,18310.0000,219,996,200406,200406,0.0000
20040510,20220.0000,20670.0000,20220.0000,20430.0000,96,1083,0,0,1430.0000
20040511,20200.0000,20250.0000,19870.0000,19970.0000,175,1857,0,0,0.0000
20040512,19800.0000,20790.0000,19570.0000,19610.0000,122,1843,0,0,0.0000
20040513,19770.0000,19770.0000,19400.0000,19580.0000,37,1843,0,0,0.0000
20040514,19330.0000,19820.0000,19320.0000,19670.0000,119,1551,0,0,0.0000
20040517,19870.0000,20290.0000,19820.0000,20210.0000,42,1580,0,0,0.0000
20040518,19960.0000,20090.0000,19960.0000,20070.0000,399,1631,0,0,0.0000
20040519,19600.0000,19640.0000,18740.0000,19170.0000,84,1676,0,0,0.0000
20040520,19060.0000,19340.0000,18990.0000,19340.0000,43,1868,0,0,0.0000
20040521,19320.0000,19330.0000,19100.0000,19240.0000,817,1868,0,0,0.0000
20040524,18610.0000,19000.0000,18600.0000,18770.0000,398,1875,0,0,0.0000
