DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,20400.0,20537.5,20362.5,20437.5,5769,24514,0,0,0.0
19900103,20400.0,20512.5,20350.0,20500.0,4989,24484,0,0,0.0
19900104,20512.5,20550.0,20425.0,20462.5,6399,24204,0,0,0.0
19900105,20400.0,20525.0,20375.0,20487.5,5656,24340,0,0,0.0
19900108,20575.0,20600.0,20475.0,20500.0,6619,24182,0,0,0.0
19900109,20450.0,20450.0,20312.5,20337.5,8262,24163,0,0,0.0
19900110,20300.0,20312.5,20162.5,20275.0,10753,23930,0,0,0.0
19900111,20300.0,20362.5,20150.0,20237.5,12580,23303,0,0,0.0
19900112,20375.0,20375.0,20025.0,20075.0,18777,23549,0,0,0.0
19900115,20050.0,20075.0,19875.0,19975.0,16853,23908,0,0,0.0
19900116,19975.0,20050.0,19887.5,19912.5,10214,23216,0,0,0.0
19900117,19900.0,20075.0,19862.5,20050.0,7782,23164,0,0,0.0
19900118,20075.0,20100.0,19800.0,19887.5,10847,23553,0,0,0.0
19900119,19850.0,19850.0,19587.5,19600.0,12119,23532,0,0,0.0
19900122,19575.0,19712.5,19562.5,19625.0,8700,23013,0,0,0.0
19900123,19650.0,19687.5,19575.0,19637.5,4555,22761,0,0,0.0
19900124,19587.5,19675.0,19562.5,19575.0,6415,22763,0,0,0.0
19900125,19500.0,19500.0,19212.5,19275.0,13260,22478,0,0,0.0
19900126,19275.0,19325.0,19050.0,19062.5,10586,21573,0,0,0.0
19900129,19037.5,19125.0,18575.0,18937.5,18305,20760,0,0,0.0
19900130,19012.5,19025.0,18762.5,18800.0,6908,20515,0,0,0.0
19900131,18850.0,18975.0,18750.0,18787.5,5421,20438,0,0,0.0
19900201,18775.0,18875.0,18662.5,18762.5,6945,20225,0,0,0.0
19900202,18712.5,18975.0,18687.5,18950.0,8032,20540,0,0,0.0
19900205,19000.0,19200.0,19000.0,19175.0,10240,20279,0,0,0.0
19900206,19100.0,19225.0,19062.5,19137.5,8532,20246,0,0,0.0
19900207,19200.0,19250.0,19137.5,19150.0,7093,19485,0,0,0.0
19900208,19137.5,19150.0,19012.5,19125.0,6643,19744,0,0,0.0
19900209,19175.0,19400.0,19175.0,19337.5,13912,18940,0,0,0.0
19900212,19375.0,19512.5,19375.0,19500.0,8394,18349,0,0,0.0
19900213,19475.0,19475.0,19262.5,19275.0,10148,19213,0,0,0.0
19900214,19250.0,19387.5,19150.0,19362.5,11767,18651,0,0,0.0
19900215,19412.5,19450.0,19212.5,19312.5,8748,18080,0,0,0.0
19900216,19312.5,19387.5,19175.0,19200.0,9454,16623,0,0,0.0
19900220,19112.5,19175.0,19050.0,19112.5,10869,15673,0,0,0.0
19900221,19050.0,19250.0,19012.5,19225.0,9313,14253,199005,199005,0.0
19900222,18175.0,18400.0,18175.0,18312.5,17645,12188,0,0,-1100.0
19900223,18325.0,18350.0,18212.5,18337.5,14069,12247,0,0,0.0
19900226,18325.0,18362.5,18262.5,18300.0,10818,12798,0,0,0.0
19900227,18300.0,18300.0,18100.0,18175.0,16738,13694,0,0,0.0
19900228,18175.0,18212.5,18100.0,18112.5,8037,13847,0,0,0.0
19900301,18100.0,18100.0,17850.0,17862.5,17387,14203,0,0,0.0
19900302,17800.0,17975.0,17725.0,17762.5,12791,15005,0,0,0.0
19900305,17750.0,17750.0,17550.0,17562.5,12930,15621,0,0,0.0
19900306,17487.5,17725.0,17487.5,17550.0,11028,15348,0,0,0.0
19900307,17537.5,17675.0,17525.0,17650.0,9568,15132,0,0,0.0
19900308,17625.0,17775.0,17600.0,17775.0,9576,15474,0,0,0.0
19900309,17750.0,17762.5,17625.0,17687.5,7404,15076,0,0,0.0
19900312,17612.5,17650.0,17475.0,17637.5,10072,15649,0,0,0.0
19900313,17600.0,17650.0,17400.0,17437.5,9361,16130,0,0,0.0
19900314,17425.0,17550.0,17362.5,17550.0,11249,15966,0,0,0.0
19900315,17537.5,17675.0,17537.5,17637.5,11093,16057,0,0,0.0
19900316,17700.0,17725.0,17625.0,17712.5,7092,16279,0,0,0.0
19900319,17725.0,17950.0,17712.5,17950.0,12588,15640,0,0,0.0
19900320,17975.0,18075.0,17925.0,18050.0,13072,15297,0,0,0.0
19900321,18100.0,18150.0,17862.5,17962.5,10471,15014,0,0,0.0
19900322,17975.0,17987.5,17850.0,17937.5,5144,14997,0,0,0.0
19900323,17925.0,17925.0,17787.5,17837.5,5372,15005,0,0,0.0
19900326,17825.0,17987.5,17775.0,17950.0,5565,15188,0,0,0.0
19900327,17950.0,17950.0,17750.0,17750.0,5482,15309,0,0,0.0
19900328,17750.0,17750.0,17462.5,17500.0,8649,15237,0,0,0.0
19900329,17350.0,17650.0,17350.0,17650.0,7474,15050,0,0,0.0
19900330,17650.0,17675.0,17475.0,17587.5,6505,14750,0,0,0.0
19900402,17675.0,17825.0,17662.5,17787.5,14762,14869,0,0,0.0
19900403,17800.0,18087.5,17775.0,18075.0,15299,14735,0,0,0.0
19900404,18175.0,18737.5,18175.0,18487.5,26163,11935,0,0,0.0
19900405,18500.0,18625.0,18350.0,18500.0,11918,11117,0,0,0.0
19900406,18475.0,18575.0,18250.0,18262.5,12490,11029,0,0,0.0
19900409,18275.0,18525.0,18025.0,18037.5,14452,11358,0,0,0.0
19900410,18050.0,18200.0,17875.0,18100.0,13329,10493,0,0,0.0
19900411,18175.0,18350.0,18050.0,18237.5,8641,10206,0,0,0.0
19900412,18175.0,18375.0,18100.0,18350.0,6004,9948,0,0,0.0
19900416,18250.0,18537.5,18225.0,18525.0,8255,9715,0,0,0.0
19900417,18537.5,18575.0,18225.0,18237.5,10688,9187,0,0,0.0
19900418,18225.0,18350.0,18225.0,18262.5,5804,9012,0,0,0.0
19900419,18250.0,18525.0,18175.0,18450.0,7873,9067,199007,199007,0.0
19900420,17175.0,17200.0,17050.0,17062.5,8165,24218,0,0,-1325.0
19900423,17050.0,17062.5,16900.0,16912.5,8007,24649,0,0,0.0
19900424,16825.0,16850.0,16637.5,16662.5,21156,26139,0,0,0.0
19900425,16600.0,16725.0,16600.0,16675.0,12938,27311,0,0,0.0
19900426,16712.5,16800.0,16625.0,16775.0,11637,27523,0,0,0.0
19900427,16725.0,17150.0,16687.5,17050.0,14897,26969,0,0,0.0
19900430,17000.0,17325.0,17000.0,17287.5,19345,26165,0,0,0.0
19900501,17325.0,17700.0,17050.0,17087.5,35526,27076,0,0,0.0
19900502,17200.0,17400.0,17200.0,17375.0,12633,27413,0,0,0.0
19900503,17375.0,17500.0,17300.0,17337.5,13334,27919,0,0,0.0
19900504,17375.0,17500.0,17250.0,17487.5,11222,29109,0,0,0.0
19900507,17550.0,17750.0,17450.0,17637.5,17902,29100,0,0,0.0
19900508,17725.0,17775.0,17300.0,17412.5,16768,29806,0,0,0.0
19900509,17350.0,17575.0,17300.0,17475.0,13921,29491,0,0,0.0
19900510,17575.0,17575.0,17412.5,17462.5,12244,30560,0,0,0.0
19900511,17350.0,17425.0,17087.5,17200.0,22877,32314,0,0,0.0
19900514,17212.5,17312.5,17100.0,17225.0,10224,31707,0,0,0.0
19900515,17237.5,17325.0,17062.5,17187.5,15054,30176,0,0,0.0
19900516,17175.0,17375.0,17175.0,17200.0,14518,29821,0,0,0.0
19900517,17225.0,17300.0,17162.5,17200.0,8665,29794,0,0,0.0
19900518,17212.5,17237.5,16950.0,16975.0,17669,29233,0,0,0.0
19900521,16950.0,17000.0,16800.0,16850.0,16123,27940,0,0,0.0
19900522,16850.0,16975.0,16712.5,16737.5,13558,27528,0,0,0.0
19900523,16725.0,16825.0,16612.5,16687.5,13360,27512,0,0,0.0
19900524,16725.0,16775.0,16500.0,16525.0,17749,28011,0,0,0.0
19900525,16525.0,16625.0,16425.0,16500.0,18486,29121,0,0,0.0
19900529,16550.0,16775.0,16512.5,16750.0,21138,26395,0,0,0.0
19900530,16700.0,16750.0,16525.0,16612.5,11932,26807,0,0,0.0
19900531,16625.0,16737.5,16525.0,16687.5,12019,25998,0,0,0.0
19900601,16675.0,16687.5,16425.0,16462.5,11316,26260,0,0,0.0
19900604,16400.0,16575.0,16300.0,16550.0,14318,26034,0,0,0.0
19900605,16550.0,16650.0,16487.5,16625.0,7872,25635,0,0,0.0
19900606,16625.0,16750.0,16525.0,16575.0,14098,26025,0,0,0.0
19900607,16600.0,16800.0,16600.0,16737.5,14970,25393,0,0,0.0
19900608,16775.0,16875.0,16525.0,16537.5,15981,25986,0,0,0.0
19900611,16475.0,16725.0,16450.0,16637.5,11567,26099,0,0,0.0
19900612,16675.0,16787.5,16675.0,16762.5,10546,24974,0,0,0.0
19900613,16750.0,16850.0,16675.0,16712.5,10134,25216,0,0,0.0
19900614,16700.0,16750.0,16575.0,16637.5,15976,23816,0,0,0.0
19900615,16612.5,16625.0,16375.0,16400.0,12870,23318,0,0,0.0
19900618,16325.0,16575.0,16325.0,16500.0,15129,23034,0,0,0.0
19900619,16500.0,16637.5,16462.5,16612.5,13374,22281,0,0,0.0
19900620,16662.5,16925.0,16662.5,16725.0,19913,21269,0,0,0.0
19900621,16675.0,16925.0,16675.0,16912.5,11562,19802,199009,199009,0.0
19900622,17050.0,17087.5,16812.5,16837.5,15583,17074,0,0,87.5
19900625,16787.5,16937.5,16762.5,16837.5,12596,17630,0,0,0.0
19900626,16837.5,16937.5,16812.5,16887.5,10849,18182,0,0,0.0
19900627,16912.5,17000.0,16862.5,16875.0,15510,19039,0,0,0.0
19900628,16850.0,16900.0,16737.5,16762.5,20589,20912,0,0,0.0
19900629,16687.5,16725.0,16525.0,16550.0,21584,22521,0,0,0.0
19900702,16575.0,16837.5,16575.0,16612.5,20475,23337,0,0,0.0
19900703,16625.0,16675.0,16500.0,16512.5,16786,23791,0,0,0.0
19900705,16475.0,16475.0,16250.0,16262.5,22047,23742,0,0,0.0
19900706,16237.5,16262.5,15800.0,15812.5,22507,25509,0,0,0.0
19900709,15812.5,15975.0,15712.5,15737.5,19698,25017,0,0,0.0
