DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20020604,32830.0,32870.0,32300.0,32300.0,1884,26428,0,0,0.0
20020605,32410.0,32590.0,32260.0,32280.0,3388,27030,0,0,0.0
20020606,32430.0,32700.0,32040.0,32100.0,1034,25410,200209,200209,0.0
20020607,31310.0,31570.0,31310.0,31570.0,1820,3158,0,0,-140.0
20020610,31920.0,31920.0,31680.0,31680.0,5157,4635,0,0,0.0
20020611,32040.0,32280.0,32040.0,32250.0,1792,4741,0,0,0.0
20020612,31610.0,31620.0,31300.0,31320.0,2050,4791,0,0,0.0
20020613,31540.0,31540.0,30830.0,30940.0,2058,5202,0,0,0.0
20020614,30580.0,30580.0,29860.0,30090.0,3755,6190,0,0,0.0
20020617,30490.0,31510.0,30360.0,31510.0,5479,7699,0,0,0.0
20020618,31370.0,31410.0,30990.0,31080.0,9102,11047,0,0,0.0
20020619,30500.0,30730.0,30320.0,30350.0,19413,18186,0,0,0.0
20020620,30250.0,30520.0,29750.0,29860.0,11819,23088,0,0,0.0
20020621,29400.0,30220.0,29230.0,29700.0,3264,24534,0,0,0.0
20020624,29950.0,30000.0,28600.0,29230.0,2200,25052,0,0,0.0
20020625,29600.0,29870.0,29480.0,29660.0,2245,24860,0,0,0.0
20020626,28180.0,29150.0,27950.0,28950.0,6322,26836,0,0,0.0
20020627,29530.0,29920.0,29200.0,29700.0,2373,26757,0,0,0.0
20020628,30250.0,30670.0,29960.0,30560.0,1503,26047,0,0,0.0
20020701,30320.0,31200.0,30260.0,30660.0,2880,25713,0,0,0.0
20020702,30060.0,30370.0,29420.0,29610.0,2585,26174,0,0,0.0
20020703,29780.0,29890.0,28710.0,28880.0,2744,25294,0,0,0.0
20020704,29560.0,29840.0,29200.0,29785.0,2439,25277,0,0,0.0
20020705,30000.0,31260.0,29950.0,31070.0,2572,25094,0,0,0.0
20020708,30700.0,30930.0,30470.0,30780.0,1462,24846,0,0,0.0
20020709,30720.0,30940.0,30030.0,30410.0,1385,24790,0,0,0.0
20020710,29770.0,30070.0,29150.0,29310.0,2061,24939,0,0,0.0
20020711,28360.0,28830.0,27800.0,28240.0,2577,25480,0,0,0.0
20020712,29150.0,29150.0,27870.0,28280.0,1637,26071,0,0,0.0
20020715,28300.0,28470.0,26350.0,26350.0,7593,29410,0,0,0.0
20020716,27140.0,27140.0,25270.0,26670.0,6075,31305,0,0,0.0
20020717,26250.0,27850.0,26060.0,27480.0,1805,31305,0,0,0.0
20020718,27280.0,28280.0,27280.0,27840.0,4542,30383,0,0,0.0
20020719,27150.0,27150.0,26310.0,26310.0,1555,30837,0,0,0.0
20020722,25500.0,26010.0,24300.0,24790.0,2523,31007,0,0,0.0
20020723,25290.0,25800.0,24130.0,24130.0,1648,31059,0,0,0.0
20020724,24310.0,24750.0,22950.0,24700.0,4642,31308,0,0,0.0
20020725,25700.0,25770.0,24600.0,25000.0,4241,31050,0,0,0.0
20020726,25100.0,25880.0,24330.0,25670.0,4505,30519,0,0,0.0
20020729,26010.0,27760.0,25950.0,27730.0,2225,30653,0,0,0.0
20020730,28000.0,28000.0,26840.0,27470.0,1240,30102,0,0,0.0
20020731,27410.0,28050.0,26830.0,27430.0,2485,29713,0,0,0.0
20020801,27190.0,27640.0,25810.0,26110.0,1628,29738,0,0,0.0
20020802,25900.0,26190.0,25550.0,25750.0,1132,29779,0,0,0.0
20020805,25610.0,25760.0,24770.0,24980.0,1379,30111,0,0,0.0
20020806,24680.0,26660.0,24360.0,26400.0,1316,30602,0,0,0.0
20020807,26650.0,27100.0,25830.0,25840.0,1618,30127,0,0,0.0
20020808,26510.0,27250.0,26400.0,27250.0,920,29996,0,0,0.0
20020809,27450.0,27950.0,26980.0,27950.0,219,29995,0,0,0.0
20020812,27670.0,27670.0,27000.0,27030.0,273,30009,0,0,0.0
20020813,27100.0,27330.0,26480.0,27330.0,1171,29858,0,0,0.0
