DATE,CLOSE
19670228,50.6
19670331,42.8
19670501,41.7
19670531,42.4
19670630,43.2
19670731,46.3
19670831,47.5
19671002,48.7
19671031,50.4
19671130,52.9
19680101,50.7
19680131,54.5
19680229,51.2
19680401,49.3
19680430,53.2
19680531,55.3
19680701,53.6
19680731,56.2
19680902,53.0
19680930,56.8
19681031,58.7
19681202,59.1
19681231,61.7
19690131,62.5
19690228,62.1
19690331,64.0
19690430,63.5
19690602,57.6
19690630,57.6
19690731,54.3
19690901,56.8
19690930,52.4
19691031,52.0
19691201,56.9
19691231,50.3
19700202,44.7
19700302,43.2
19700331,41.4
19700430,38.9
19700601,35.2
19700630,43.5
19700731,46.0
19700831,46.8
19700930,41.1
19701102,35.4
19701130,38.1
19701231,36.7
19710201,41.4
19710301,47.4
19710331,47.6
19710430,49.0
19710531,51.2
19710630,48.1
19710802,49.4
19710831,51.1
19710930,53.3
19711101,55.8
19711130,56.8
19711231,58.7
19720131,60.4
19720229,57.9
19720331,62.7
19720501,62.9
19720531,64.8
19720630,62.1
19720731,67.9
19720831,66.3
19721002,69.3
19721031,71.6
19721130,73.8
19730101,74.4
19730131,78.6
19730228,78.1
19730402,74.9
19730430,75.0
19730531,71.5
19730702,72.6
19730731,67.8
19730831,69.1
19731001,69.5
19731031,69.4
19731130,78.8
19731231,76.3
19740131,68.6
19740228,69.6
19740401,59.0
19740430,63.0
19740531,58.1
19740701,60.4
19740731,63.0
19740902,57.8
19740930,46.6
19741031,41.0
19741202,35.6
19741231,25.6
19750131,24.4
19750228,23.9
19750331,28.9
19750430,33.1
19750602,36.7
19750630,39.4
19750731,43.6
19750901,51.3
19750930,50.2
19751031,51.0
19751201,51.0
19751231,51.5
19760202,55.6
19760301,59.5
19760331,62.9
19760430,60.4
19760531,60.1
19760630,59.2
19760802,59.0
19760831,60.9
19760930,57.2
19761101,56.3
19761130,56.3
19761231,57.1
19770131,61.4
19770228,57.4
19770331,57.8
19770502,57.4
19770531,60.3
19770630,58.5
19770801,58.6
19770831,56.3
19770930,56.5
19771031,59.8
19771130,59.3
19780102,64.8
19780131,64.7
19780228,61.3
19780331,58.3
19780501,62.5
19780531,62.9
19780630,63.0
19780731,64.9
19780831,61.7
