DATE,CLOSE
20010731,-13.29
20010831,-7.98
20011001,-12.48
20011031,-14.73
20011130,-21.51
20011231,-9.78
20020131,1.41
20020228,13.3
20020401,13.8
20020430,20.18
20020531,12.93
20020701,8.91
20020731,-1.86
20020902,8.25
20020930,6.35
20021031,-3.79
20021202,3.97
20021231,2.38
20030131,8.1
20030228,-3.54
20030331,6.45
20030430,-14.49
20030602,15.67
20030630,25.13
20030731,19.33
20030901,15.55
20030930,20.39
20031031,36.79
20031201,33.95
20031231,27.37
20040202,32.47
20040301,36.98
20040331,32.64
20040430,38.99
20040531,36.96
20040630,27.04
20040802,34.97
20040831,15.23
20040930,28.39
20041101,24.57
20041130,15.28
20041231,21.61
20050131,15.54
20050228,17.14
20050331,24.27
20050502,8.29
20050531,-4.92
20050630,7.79
20050801,23.79
20050831,23.72
20050930,16.93
20051031,12.11
20051130,17.97
20060102,22.94
20060131,17.51
20060228,20.87
20060331,33.16
20060501,18.43
20060531,18.62
20060630,26.49
20060731,16.63
20060831,11.63
20061002,14.97
20061031,18.89
20061130,22.85
20070101,20.12
20070131,7.4
20070228,24.5
20070402,13.3
20070430,3.9
20070531,10.0
20070702,24.2
20070731,26.1
20070831,22.8
20071001,14.7
20071031,25.9
20071130,26.0
20071231,8.6
20080131,7.2
20080229,-7.3
20080331,-14.8
20080430,-3.1
20080602,-3.9
20080630,-8.4
20080731,-5.3
20080901,-0.8
20080930,-8.0
20081031,-25.7
20081201,-22.5
20081231,-25.4
20090202,-26.4
20090302,-34.3
20090331,-33.8
20090430,-19.4
20090601,-6.1
20090630,-10.0
20090731,-0.1
20090831,12.8
20090930,21.0
20091102,33.3
20091130,25.8
20091231,5.2
20100201,15.1
20100301,21.5
20100331,19.7
20100430,27.3
20100531,18.0
20100630,19.7
20100802,5.1
20100831,10.2
20100930,10.1
20101101,15.6
20101130,-7.4
20101231,11.8
20110131,9.6
20110228,12.0
20110331,12.2
20110502,19.1
20110531,10.0
20110630,-5.5
20110801,-6.3
20110831,-3.6
20110930,-4.0
20111031,-5.1
20111130,4.9
20120102,11.5
20120131,11.4
20120229,17.4
20120402,15.4
20120430,7.6
20120531,13.6
20120702,1.5
20120731,2.5
20120831,-2.2
20121001,-6.4
20121031,-3.5
20121130,-0.8
20121231,-6.0
20130131,-7.6
20130228,8.9
20130401,5.3
20130430,4.2
20130531,-2.1
20130701,4.8
20130731,4.3
20130902,10.7
20130930,8.2
20131031,5.3
20131202,2.2
20131231,2.5
20140131,12.3
20140228,6.1
20140331,3.6
20140430,3.5
20140602,16.3
20140630,16.4
20140731,19.5
20140901,17.6
20140930,30.2
20141031,8.4
20141201,12.0
20141231,-3.4
20150202,11.8
20150302,9.6
20150331,4.5
20150430,-0.8
20150601,2.3
20150630,-4.1
20150731,0.1
20150831,-12.0
20150930,-12.2
20151102,-10.4
20151130,-9.6
20151231,-7.3
20160201,-16.8
20160229,-14.5
20160331,-1.5
20160502,8.4
20160531,-9.0
20160630,3.7
20160801,-0.5
20160831,-3.2
20160930,-1.2
20161031,-5.5
20161130,2.2
20170102,7.6
20170131,6.5
20170228,18.7
20170331,16.4
20170501,5.2
20170531,-1.0
20170630,19.8
20170731,9.8
20170831,25.2
20171002,24.4
20171031,30.2
20171130,19.4
20180101,18.0
20180131,17.7
20180228,13.1
20180402,22.5
20180430,17.9
20180531,20.6
20180702,24.4
20180731,22.0
20180831,24.3
20181001,18.8
20181031,20.0
20181130,21.4
20181231,11.5
20190131,3.9
20190228,8.8
20190401,3.7
20190430,10.1
20190531,17.8
20190701,-8.6
20190731,4.3
20190902,4.8
20190930,2.0
20191231,3.5
20200131,4.8
