DATE,CLOSE
19200301,15.5
19200331,20.8
19200430,22.0
19200531,13.5
19200630,15.7
19200802,9.8
19200831,1.0
19200930,0.0
19201101,-1.6
19201130,-4.7
19201231,-11.2
19210131,-17.8
19210228,-29.2
19210331,-30.6
19210502,-31.2
19210531,-27.3
19210630,-27.1
19210801,-28.4
19210831,-27.0
19210930,-24.9
19211031,-21.6
19211130,-13.2
19220102,-6.6
19220131,-1.3
19220228,8.8
19220331,15.9
19220501,25.5
19220531,21.4
19220630,24.1
19220731,31.3
19220831,32.2
19221002,25.0
19221031,30.9
19221130,30.4
19230101,37.8
19230131,42.6
19230228,34.2
19230402,30.4
19230430,27.7
19230531,35.1
19230702,30.0
19230731,22.8
19230831,21.7
19231001,22.2
19231031,13.3
19231130,6.8
19231231,2.3
19240131,-2.7
19240229,1.9
19240331,2.3
19240430,-2.7
19240602,-7.8
19240630,-12.8
19240731,-15.9
19240901,-16.5
19240930,-11.9
19241031,-6.8
19241201,-4.1
19241231,-2.3
19250202,2.8
19250302,3.6
19250331,1.8
19250430,3.6
19250601,8.0
19250630,12.3
19250731,16.4
19250831,21.4
19250930,15.1
19251102,9.7
19251130,11.4
19251231,11.6
19260201,10.0
19260301,4.8
19260331,4.8
19260430,6.1
19260531,5.2
19260630,4.8
19260802,7.0
19260831,4.7
19260930,7.9
19261101,11.1
19261130,6.8
19261231,4.2
19270131,2.5
19270228,3.8
19270331,4.6
19270502,4.5
19270531,2.1
19270630,3.7
19270801,2.1
19270831,0.4
19270930,-0.8
19271031,-4.0
19271130,-6.0
19280102,-5.6
19280131,-4.8
19280229,-2.4
19280402,-2.4
19280430,-2.8
19280531,-0.8
19280702,-0.4
19280731,0.8
19280831,3.3
19281001,5.3
19281031,7.9
19281130,12.3
19281231,14.4
19290131,16.0
19290228,15.3
19290401,13.9
19290430,13.4
19290531,15.9
19290701,16.5
19290731,16.4
19290902,16.6
19290930,13.2
19291031,11.5
19291202,7.5
19291231,0.4
19300131,-5.8
19300228,-7.2
19300331,-7.2
19300430,-9.0
19300602,-11.3
19300630,-14.2
19300731,-17.2
19300901,-22.0
19300930,-22.9
19301031,-23.8
19301201,-24.6
19301231,-22.5
19310202,-20.8
19310302,-21.2
19310331,-20.5
19310430,-17.7
